mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
mr_dungeons_andtavernspillageroutpostrework,Dungeons and Taverns Pillager Outpost Rework,1.1,dungeons-and-taverns-pillager-outpost-rework-1.1 [Forge].jar,,https://modrinth.com/datapack/dungeons-and-taverns-pillager-outpost-rework,
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
supermartijn642configlib,SuperMartijn642's Config Library,1.1.8,supermartijn642configlib-1.1.8-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-config-lib,https://github.com/SuperMartijn642/SuperMartijn642sConfigLib/issues
parcool_compat_addon,ParCool+ / Compatibility Addon,1.1,ParCool-CompatibilityAddon-1.20.1-3.4.1.5-1.1.jar,,,
additionalentityattributes,Additional Entity Attributes,1.4.0.5+1.20.1,additionalentityattributes-forge-1.4.0.5+1.20.1.jar,,,
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
fabric_rendering_fluids_v1,Fabric Rendering Fluids (v1),3.0.29+4ac5e37a77,fabric-rendering-fluids-v1-3.0.29+4ac5e37a77.jar,,,
fabric_models_v0,Fabric Models (v0),0.4.3+7c3892a477,fabric-models-v0-0.4.3+7c3892a477.jar,,,
apoli,Apoli,1.20.1-2.9.0.8,apoli-forge-1.20.1-2.9.0.8.jar,,,https://github.com/EdwinMindcraft/apoli/issues
mr_dungeons_andtavernsancientcityoverhaul,Dungeons and Taverns Ancient City Overhaul,1,dungeons-and-taverns-ancient-city-overhaul-1 [Forge].jar,,https://modrinth.com/datapack/dungeons-and-taverns-ancient-city-overhaul,
fabric_convention_tags_v1,Fabric Convention Tags,1.5.6+fa3d1c0177,fabric-convention-tags-v1-1.5.6+fa3d1c0177.jar,,,
ctm,ConnectedTexturesMod,1.20.1-1.1.10,CTM-1.20.1-1.1.10.jar,,https://chisel.team/ctm,https://github.com/Chisel-Team/ConnectedTexturesMod/issues/
modernfix,ModernFix,5.27.83+mc1.20.1,modernfix-forge-5.27.83+mc1.20.1.jar,,https://modrinth.com/mod/modernfix,https://github.com/embeddedt/ModernFix/issues
fabric_command_api_v1,Fabric Command API (v1),1.2.35+f71b366f77,fabric-command-api-v1-1.2.35+f71b366f77.jar,,,
fabric_block_view_api_v2,Fabric BlockView API (v2),1.0.3+53347ba977,fabric-block-view-api-v2-1.0.3+53347ba977.jar,,,
fabric_command_api_v2,Fabric Command API (v2),2.2.14+561530ec77,fabric-command-api-v2-2.2.14+561530ec77.jar,,,
yungsapi,YUNG's API,1.20-Forge-4.0.6,YungsApi-1.20-Forge-4.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api,https://github.com/yungnickyoung/YUNGs-Api/issues
cold_sweat_origins,Cold Sweat: Origins,1.0.4,ColdSweatOrigins-1.0.4.jar,,,
farmersdelightcompat,Farmer's Delight Compat,1.1.1,Compat_FarmersDelight.jar,,https://modrinth.com/mod/farmers-delight-compat,
balm,Balm,7.3.42,balm-forge-1.20.1-7.3.42.jar,,https://mods.twelveiterations.com/,https://github.com/TwelveIterations/Balm/issues
fabric_screen_api_v1,Fabric Screen API (v1),2.0.9+45a670a577,fabric-screen-api-v1-2.0.9+45a670a577.jar,,,
ru_expansion,Regions Unexplored: Expansion,1.0.1,RUExpansion-1.0.1+1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/regions-unexplored-expansion,
jeresources,Just Enough Resources,1.4.0.247,JustEnoughResources-1.20.1-1.4.0.247.jar,,https://www.curseforge.com/minecraft/mc-mods/just-enough-resources-jer,https://github.com/way2muchnoise/JustEnoughResources/issues
betterfortresses,YUNG's Better Nether Fortresses,1.20-Forge-2.0.6,YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses,https://github.com/yungnickyoung/YUNGs-Better-Fortresses/issues
cloth_config,Cloth Config v10 API,11.1.136,cloth-config-11.1.136-forge.jar,,,https://github.com/architectury/ClothConfig/issues/
ctov,ChoiceTheorem's Overhauled Village,3.4.14,[forge]ctov-3.4.14.jar,,https://github.com/ChoiceTheorem/ChoiceTheorem-s-overhauled-village,https://github.com/ChoiceTheorem/ChoiceTheorem-s-overhauled-village/issues
vminus,VMinus,3.3.1,vminus-3.3.2.jar,,https://curseforge.com/minecraft/mc-mods/vminus,
embeddium,Embeddium,0.3.31+mc1.20.1,embeddium-0.3.31+mc1.20.1.jar,,,
rubidium,Rubidium (Embeddium),0.7.1,embeddium-0.3.31+mc1.20.1.jar,,,
structure_gel,Structure Gel API,2.16.2,structure_gel-1.20.1-2.16.2.jar,,https://moddinglegacy.com/,https://gitlab.com/modding-legacy/structure-gel-api/-/issues
corpse,Corpse,1.20.1-1.0.23,corpse-forge-1.20.1-1.0.23.jar,,https://www.curseforge.com/minecraft/mc-mods/corpse,https://github.com/henkelmax/corpse/issues
vintagedelight,Vintage Delight,0.1.6,vintagedelight-0.1.6.jar,,,
handcrafted,Handcrafted,3.0.6,handcrafted-forge-1.20.1-3.0.6.jar,,https://modrinth.com/mod/handcrafted,https://github.com/terrarium-earth/handcrafted/issues
fabric_game_rule_api_v1,Fabric Game Rule API (v1),1.0.41+683d4da877,fabric-game-rule-api-v1-1.0.41+683d4da877.jar,,,
resourcefulconfig,Resourcefulconfig,2.1.3,resourcefulconfig-forge-1.20.1-2.1.3.jar,,,https://github.com/Team-Resourceful/Resouceful-Config/issues
curios,Curios API,5.14.1+1.20.1,curios-forge-5.14.1+1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/curios,https://github.com/TheIllusiveC4/Curios/issues
origins,Origins,1.20.1-1.10.0.9,origins-forge-1.20.1-1.10.0.9-all.jar,,,https://github.com/EdwinMindcraft/origins-architectury/issues
searchables,Searchables,1.0.3,Searchables-forge-1.20.1-1.0.3.jar,,https://minecraft.curseforge.com/projects/searchables,https://github.com/jaredlll08/searchables/issues
mr_dungeons_andtaverns,Dungeons and Taverns,3.0.3.f,dungeons-and-taverns-3.0.3.f[Forge].jar,,https://modrinth.com/datapack/dungeons-and-taverns,https://github.com/NovaWostra/Dungeons-and-Taverns/issues
icarus,Icarus,2.14.0,Icarus-Forge-2.14.0.jar,,https://curseforge.com/projects/428151,https://github.com/Up-Mods/Icarus/issues
fabric_entity_events_v1,Fabric Entity Events (v1),1.6.1+4ca7515277,fabric-entity-events-v1-1.6.1+4ca7515277.jar,,,
transition,TRansition,1.0.21,TRansition-1.0.21-1.20.1-forge-SNAPSHOT.jar,,https://github.com/tr7zw/TRansition,https://github.com/tr7zw/TRansition/issues
betterendisland,YUNG's Better End Island,1.20-Forge-2.0.6,YungsBetterEndIsland-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island,https://github.com/yungnickyoung/YUNGs-Better-End-Island/issues
fabric_rendering_data_attachment_v1,Fabric Rendering Data Attachment (v1),0.3.39+a6081afc77,fabric-rendering-data-attachment-v1-0.3.39+a6081afc77.jar,,,
lootintegrations_moog,lootintegrations_moog mod,1,lootintegrations_moog-2.1.jar,,,
sparsestructures,SparseStructures,3.0,sparsestructures-forge-1.20.1-3.0.jar,,,
